price,title,tags
6.29,Bomb Bay,"Early Access, Action, Indie, Casual,"
0.99,Lost In Space,"Indie, Casual, Racing,"
1.99,Pursuing Susie,"Sexual Content, Nudity, Adventure, Indie,"
4.99,My Beastly Lovers,"Early Access, Adventure, RPG, Indie,"
9.99,Blood Waves,"Early Access, Indie, Violent, Gore,"
4.99,Proletarian Budget Survival,"Early Access, Action, Gore, Multiplayer,"
1.19,AppleSnake: Halloween Adventures,"Indie, Casual,"
0.59,Unity of Four Elements,"Indie, Adventure, Action, Casual,"
0.59,Cute Hedgehog,"Adventure, Indie, Casual, Simulation,"
0.59,Deadly Escape,"Indie, Action, Gore, Pixel Graphics,"
19.99,APEX Tournament,"Action, Indie, VR,"
0,Run away boy,"Adventure, Racing, Sports, Gore,"
4.49,A Boy and His Beard,"Free to Play, Action, Indie, Casual,"
4.89,Paradox Soul,"Adventure, Action, Indie, Gore,"
4.89,Choice of the Vampire: The Fall of Memphis,"Adventure, RPG, Indie,"
2.99,Choice of the Vampire,"Adventure, RPG, Indie, Text-Based,"
1.49,The Great Tournament,"Adventure, RPG, Indie, Text-Based,"
0,Containment,"Strategy, Indie, Casual, Simulation,"
6.74,Carried Away: Winter Sports,"Indie, Casual, Simulation, Puzzle,"
0,Ski Hard: Lorsbruck 1978,"Action, Indie, Sports, Difficult"
59.99,Kingdom Come: Deliverance,"RPG, Medieval, Open World, Historical,"
29.99,PLAYERUNKNOWN'S BATTLEGROUNDS,"Survival, Shooter, Multiplayer, PvP,"
24.99,Subnautica,"Survival, Open World, Exploration, Underwater,"
49.99,The Witcher 3: Wild Hunt - Game of the Year Edition,"Multiplayer, Racing, Soccer, Sports,"
44.99,Divinity: Original Sin 2,"Strategy, Turn-Based Strategy, Historical, Multiplayer,"
59.99,DRAGON BALL FighterZ,"RPG, Co-op, Turn-Based, Fantasy,"
13.99,OKAMI HD ,"Action, Anime, Fighting, Multiplayer,"
9.99,Black Desert Online,"Adventure, Great Soundtrack, Mythology, Story Rich,"
15.99,Slay the Spire,"Massively Multiplayer, MMORPG, Open World, RPG,"
35.99,Fallout 4: Game of the Year Edition,"Early Access, Card Game, Strategy, Rogue-like,"
29.99,Eco,"Early Access, Survival, Multiplayer, Adventure,"
59.99,Grand Theft Auto V,"Open World, Action, Multiplayer, First-Person,"
14.99,Counter-Strike: Global Offensive,"FPS, Multiplayer, Shooter, Action,"
16.99,DESOLATE,"Early Access, Violent, Adventure, Horror,"
